City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Santarem,BR,87.93,clear sky,-2.4431,-54.7083,Hotel Imperador
550,Ambulu,ID,76.28,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
551,Kitimat,CA,38.91,light rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
552,Anadyr,RU,34.3,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
553,Maragogi,BR,77.09,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
554,Stade,DE,42.8,light rain,53.6,9.4833,H+ Hotel Stade
555,La Macarena,CO,75.34,overcast clouds,2.1837,-73.7849,Casa Hotel Real
556,Myingyan,MM,66.74,clear sky,21.4667,95.3833,Yamethin
558,San Carlos De Bariloche,AR,67.75,few clouds,-41.1456,-71.3082,Hotel Patagonia
559,Aswan,EG,63.7,clear sky,24.0934,32.907,Nuba Nile
560,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
561,Abai,PY,71.46,clear sky,-26.0333,-55.9333,Bar Y Hospedaje Lucas Amín
562,Gaziantep,TR,49.93,mist,37.0594,37.3825,Novotel Gaziantep
563,Ust-Uda,RU,22.42,broken clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
564,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
565,Pasighat,IN,59.76,clear sky,28.0667,95.3333,Siang Guest House
566,Praia Da Vitoria,PT,64.76,broken clouds,38.7333,-27.0667,Hotel Branco I
567,Tottori,JP,44.67,broken clouds,35.5,134.2333,Hotel Monarque Tottori
568,Gat,IL,63.39,scattered clouds,31.61,34.7642,OlusHome
569,Namatanai,PG,82.27,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
570,Cabra,ES,58.66,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
571,General Roca,AR,87.62,broken clouds,-39.0333,-67.5833,Hotel El Recreo
573,Zhongshu,CN,49.57,clear sky,24.5167,103.7667,Xintianlong Hotel
574,Kenora,CA,23.97,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
576,Aborlan,PH,78.87,heavy intensity rain,9.4352,118.5492,Kevina Transient House
577,Safranbolu,TR,44.85,scattered clouds,41.2508,32.6942,GuleviSafranbolu Hotel
578,Victor Harbor,AU,54.0,clear sky,-35.5667,138.6167,McCracken Country Club
579,Wanlaweyn,SO,76.91,clear sky,2.6185,44.8938,GAASHAAN HOME
580,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
581,Sao Miguel Do Araguaia,BR,82.6,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
582,Wielun,PL,37.38,overcast clouds,51.221,18.5696,Zajazd Boryna
583,Khandbari,NP,56.97,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
584,Oktyabrskiy,RU,14.47,broken clouds,54.4815,53.471,Гостиница Октябрьская
585,Umm Lajj,SA,74.75,scattered clouds,25.0213,37.2685,Moon light Furnished Units
586,Staraya Russa,RU,29.17,overcast clouds,57.9944,31.3608,Hotel Polist
587,Itiuba,BR,78.73,broken clouds,-10.6917,-39.8536,PRÉDIO SOUSA MOTOS
588,Astaneh-Ye Ashrafiyeh,IR,53.53,broken clouds,37.2596,49.9444,Hotel Farrokhi هتل فرخی
589,Ledyard,US,49.1,scattered clouds,41.4398,-72.0142,Stonecroft Country Inn
590,Cuxhaven,DE,43.0,overcast clouds,53.8718,8.6909,Best Western Hotel Das Donners
592,Malartic,CA,23.11,snow,48.1335,-78.1328,Camping Regional De Malartic
594,Baruun-Urt,MN,25.21,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
595,Flinders,AU,58.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
596,Abnub,EG,62.82,overcast clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
597,Sarangani,PH,79.11,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
598,Camana,PE,66.67,broken clouds,-16.6228,-72.7111,Hostal Morales
599,Tweed,CA,33.06,overcast clouds,44.4751,-77.3162,Stoco Lake Lodge
600,Half Moon Bay,US,69.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
601,Kattivakkam,IN,75.29,scattered clouds,13.2167,80.3167,Euronova Freezer
603,Saint-Pierre,RE,68.92,clear sky,-21.3393,55.4781,Alize Plage
604,Lavumisa,SZ,71.94,overcast clouds,-27.31,31.892,ROADSIDE B&B
605,Nago,JP,74.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
